signal_date,entry_date,exit_date,gross_return,turnover,net_return,benchmark_return
2009-01-30,2009-02-02,2009-03-02,-0.0020667352262457445,1.0,-0.004062601755793316,-0.11094817133793078
2009-02-27,2009-03-02,2009-04-01,0.03326686694767327,0.06129976278691196,0.03314018891999426,0.09062453593639819
2009-03-31,2009-04-01,2009-05-01,0.0314452469460116,0.08763020883796058,0.031264475421221904,0.11346012254014082
2009-04-30,2009-05-01,2009-06-01,0.08365178823722524,0.1022445713235478,0.08343019321212042,0.07124882562261337
2009-05-29,2009-06-01,2009-07-01,-0.016414756874930467,0.002693826871972449,-0.016420056091647983,-0.008630042273247485
2009-06-30,2009-07-01,2009-08-03,0.05097239064362305,0.04821449658379795,0.050871046434146194,0.08132969960247083
2009-07-31,2009-08-03,2009-09-01,-0.0042065878572153225,0.054705983103514266,-0.00431553957237385,0.021031613923811587
2009-08-31,2009-09-01,2009-10-01,0.05736904485665509,0.02904298715800957,0.057307626545473056,0.015111291301783014
2009-09-30,2009-10-01,2009-11-02,0.014734316958709769,0.007078567732991203,0.014719951227522676,0.010970759005460629
2009-10-30,2009-11-02,2009-12-01,0.10459301804761811,0.0655709905557118,0.10444815953090947,0.06520711913134236
2009-11-30,2009-12-01,2010-01-04,-0.006420565082910026,0.06053939902814043,-0.006540866486663188,0.018526481921741444
2009-12-31,2010-01-04,2010-02-01,-0.05444880484552474,0.12332974270109226,-0.054682034016742875,-0.03755459055778265
2010-01-29,2010-02-01,2010-03-01,0.038213085552566944,0.024589463601432382,0.03816202734681129,0.028201621644510455
2010-02-26,2010-03-01,2010-04-01,0.045890804747400545,0.05247350637618858,0.045781041631776986,0.06371497445650753
2010-03-31,2010-04-01,2010-05-03,0.037018423760703904,0.09956431328278315,0.03681192370625719,0.013412670805537319
2010-04-30,2010-05-03,2010-06-01,-0.03115575694469477,0.06722445138589017,-0.03128601699013034,-0.09239438630298302
2010-05-28,2010-06-01,2010-07-01,-0.01741670486432109,0.23398562629901937,-0.017876525599727633,-0.043462890866724946
2010-06-30,2010-07-01,2010-08-02,0.006688093024205616,0.05274792988936278,0.006581891598303136,0.08570037319617119
